제목,날짜,분류,본문,반응수
"국민권익위, 생태탐방원 예비숙소 부정사용 실태 발표",20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
"국민권익위, 생태탐방원 예비숙소 부정사용 실태 발표",20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
"국민권익위, 생태탐방원 예비숙소 부정사용 실태 발표",20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
Heat wave to drive temperatures up to 36 C amid 'serious' heat warning,20230802,세계,"heat wave-forecast Heat wave to drive temperatures up to 36 C amid 'serious' heat warning   SEOUL, Aug. 2 (Yonhap) -- The heat wave will continue to bake South Korea on Wednesday, sending daytime temperatures as high as 36 C, the weather agency said, as the heat warning remains at the highest level of ""serious.""   The highest daily temperatures are expected to reach 35 C in Seoul, 33 C in the nearby city of Incheon, and 36 C in the southern cities of Gwangju and Daegu, the Korea Meteorological Administration said.    Apparent temperatures, which measure the temperature the body actually feels, will surpass 35 C almost across the entire nation.   The previous day, the government raised its heat wave warning to ""serious,"" the highest level in the four-stage warning system, for the first time in four years.    A serious-level alert is issued when daily high temperatures remain at 35 C or higher in many parts of the country for at least three days or daily highs remain at 38 C or higher in some parts of the nation for at least three days.    A tropical night was reported overnight in Seoul, Incheon, and parts of Gangwon Province and Jeju Island, with the nighttime temperature staying 25 C or higher throughout the night.   As of 8 a.m. Wednesday, the temperature stood at 28.3 C in Seoul, 28 C in the central city of Daejeon, 28.9 C in the southeastern coastal city of Ulsan and 29.7 C in the southeastern port city of Busan.    The agency advised people to remain indoors around noon as ozone concentration levels will be ""very bad"" in southern parts of Gyeonggi Province and South Chungcheong Province, and ""bad"" in the broader Seoul area and other parts of the country.    The level of ultraviolet radiation will be ""very high"" across the nation around noon.    Some parts of the country may see sudden rain showers as strong as 30 millimeters per hour and accompanied by strong winds and thunder, including southern Gyeonggi areas, some parts of Gangwon Province and other southern regions, the agency said.    Children take refuge from the scorching heat at a fountain in central Seoul on Aug. 1, 2023. (Yonhap)",0
"임윤찬, 오늘 美 할리우드볼서 LA필하모닉과 협연",20230802,생활,"지휘자 성시연과 호흡…라흐마니노프 협주곡 3번 선사시카고·파리·뮌헨 등지서도 잇따라 공연 예정    반클라이번 콩쿠르서 연주하는 임윤찬[ⓒ반클라이번콩쿠르/목프로덕션 제공. 재판매 및 DB 금지]  피아니스트 임윤찬이 해외 유수 오케스트라와 협연을 이어가고 있다.    임윤찬은 1일(현지시간) 밤 미국 로스앤젤레스의 대표 공연장인 할리우드볼에서 지휘자 성시연이 이끄는 LA필하모닉과 데뷔 무대를 갖는다.    연주곡은 지난해 역대 최연소 우승을 차지한 반 클라이번 국제 피아노 콩쿠르 결선에서 친 라흐마니노프 피아노 협주곡 3번이다.    이 곡은 '악마의 협주곡'이라고 불릴 만큼 고난도 테크닉을 요구하는 작품으로, 임윤찬이 신들린 듯한 연주를 선보인 클라이번 콩쿠르 결선 영상은 유튜브에서 1천200만회 조회 수를 돌파하며 공전의 히트를 기록 중이다.    콩쿠르 우승 이후 해외 유수의 일급 오케스트라들과 잇따라 무대에 서고 있는 임윤찬은 지난 5월에는 뉴욕필하모닉과도 데뷔 무대를 치렀다. 당시 뉴욕타임스는 임윤찬의 연주를 ""꿈 같은 연주""라고 극찬했다.    이번 LA필 공연은 뉴질랜드 오클랜드 필하모닉 오케스트라의 수석 객원 지휘자인 한국인 음악가 성시연이 지휘한다는 점에서도 뜻깊다. 성시연은 이번 무대에서 라흐마니노프의 '심포닉 댄스'도 지휘한다.    임윤찬은 남아있는 2023/2024 시즌에도 해외 공연을 이어간다.    이달 5일에는 미국 시카고에서 열리는 여름 클래식 축제인 라비니아 페스티벌에서 시카고 심포니와 협연한다.     10월과 11월에는 지휘자 정명훈과 무대에 선다. 10월에는 프랑스 파리에서 정명훈의 지휘로 라디오프랑스필하모닉과, 11월에는 역시 정명훈의 지휘로 독일 뮌헨에서 뮌헨필하모닉과 협연한다.    뮌헨필과의 협연 무대는 국내에서도 예정돼 있다. 11월 내한하는 뮌헨필의 공연은 정명훈 지휘, 임윤찬 협연으로 서울과 대전, 대구에서 열린다.",66
"공수처, 하반기 신임 검사 1명 추가공모",20230802,사회,"16일까지 접수…변호사자격 7년 이상    고위공직자범죄수사처[공수처 제공. 재판매 및 DB 금지]      고위공직자범죄수사처는 2023년도 하반기 신임 검사 1명을 추가 공모한다고 2일 밝혔다.    공수처 현원은 정원인 25명보다 4명(부장검사 1명, 평검사 3명) 적은 21명이다. 공수처는 부장검사 1명과 평검사 2명 등 3명에 대해서는 공모 절차를 진행 중이다.    원서 접수 기간은 이달 7일부터 16일까지다. 이후 서류전형과 면접, 인사위원회 추천 등을 거쳐 대통령이 최종 임명한다.    응시자는 모집 공고일 기준으로 변호사 자격을 7년 이상 보유해야 한다. 군검찰을 포함한 수사기관에서 3년 이상 수사 경력이 있는 지원자는 서류전형에서 우대한다.    자세한 내용은 공수처 홈페이지 또는 나라일터에서 확인할 수 있다.",0
생태탐방원 예비숙소 부정사용 실태 발표,20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
생태탐방원 예비숙소 부정사용 실태 발표,20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
생태탐방원 예비숙소 부정사용 실태 발표,20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
"용인시, 지역주택조합 13곳 실태 점검…법령준수 여부 확인",20230802,경제,"경기 용인시는 관내 13개 지역주택조합을 대상으로 실태점검을 실시한다고 2일 밝혔다.    용인시청사[용인시 제공. 재판매 및 DB 금지]    이번 점검은 지역주택조합의 투명성을 확보하고 조합원의 피해를 사전에 차단하기 위한 것으로, 시가 자체 점검반을 구성해 이달 7일부터 18일까지 진행한다.    점검에서는 ▲ 조합원 모집 과정에서 중요사항 설명 이행 ▲ 공개모집 방식 채택 ▲ 조합 가입 철회 및 가입비 반환 등 지역주택조합제도 이행 여부를 확인한다.    지역주택조합제도는 무주택자의 내 집 마련을 지원하기 위해 '주택건설촉진법'에 의해 만들어진 제도로, 20명 이상 무주택자가 토지를 확보하고 조합을 설립하면 사업 주체로 인정해 사업이 허용된다.    시는 조합 내 분쟁을 예방하고 사업의 투명성을 확보하기 위해 조합의 자금관리, 계약서 명시 사항, 실적 보고 및 자료공개 여부 등도 함께 점검한다.    시 관계자는 ""지역주택조합 가입 과정에서 시민들이 피해를 겪지 않도록 이번 점검을 통해 운영 실태를 면밀히 살피겠다""며 ""시 홈페이지를 통해서도 지역주택조합의 개요와 추진현황, 가입 시 주의사항 등을 안내하고 있으니 꼼꼼히 확인해주기를 바란다""고 말했다.    용인시에는 현재 조합원 모집단계에 있는 조합이 5곳, 공사 중인 조합이 3곳, 사업 승인 단계에 있는 조합이 4곳, 설립인가 단계에 있는 조합이 1곳 등 총 13개 지역주택조합이 있다.",0
"[픽! 보령] ""시원한 머드 해보개"" 반려견들의 머드체험",20230802,생활,"반려견들의 머드 체험[보령시 제공. 재판매 및 DB 금지] ""우리도 머드 좋아해요.""    충남 보령시가 올해 제26회 보령 머드축제장에 처음으로 반려견 머드체험장을 운영하고 있다.    행사장 내 별도의 구역에 있는 반려견 머드체험장은 반려동물 1천만 시대를 맞아 보령시가 반려동물 친화 관광도시로 더 도약하기 위해 마련했다.    대형 머드 탕과 일반 풀장, 튜브, 장애물 경주 등 다양한 놀이 공간을 조성했고, 간이 샤워장과 건조실도 둬 견주 편의를 제공하고 있다.    반려견과 함께 머드 체험[보령시 제공. 재판매 및 DB 금지]이곳에는 지난 주말에만 500여명의 반려견 가족이 방문해 머드 체험을 즐겼다.    (글 = 정찬욱 기자, 사진 = 보령시 제공)",0
"권익위, 생태탐방원 예비숙소 부정사용 조사 결과 발표",20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
"권익위, 생태탐방원 예비숙소 부정사용 조사 결과 발표",20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
"권익위, 생태탐방원 예비숙소 부정사용 조사 결과 발표",20230802,사회,정승윤 국민권익위원회 부위원장 겸 사무처장이 2일 정부서울청사에서 국립공원 생태탐방원 생활관 예비숙소 부정사용 실태조사 결과를 발표하고 있다. 2023.8.2,0
"프로축구 울산, 홍명보 감독과 2026년까지 3년 연장 계약",20230802,스포츠,"홍명보 감독 계약 연장[울산 현대 제공. 재판매 및 DB 금지]      프로축구 울산 현대가 홍명보 감독과 2026시즌까지 함께 하는 3년 연장 계약에 합의했다고 2일 발표했다.    동북고와 고려대 출신 홍명보 감독은 2021년 울산 지휘봉을 잡았고, 지난해 울산에 17년 만에 K리그 우승컵을 안겼다.     홍명보 감독은 ""그동안 팀을 파악하고 만들어가는 시간이었다면 앞으로는 울산이 K리그를 대표하는 리딩 클럽으로 자리 잡을 수 있도록 노력하겠다""며 ""울산을 사랑하고 응원해 주시는 모든 분을 위해 앞으로도 최선을 다할 것을 약속드린다""고 소감을 밝혔다.     울산은 ""구단과 선수단, 팬 모두가 자신감을 갖고 K리그와 아시아축구연맹(AFC) 챔피언스리그를 압도하는 우승 왕조, 유소년 선수 육성과 팬 프렌들리의 명가가 되겠다는 목표로 미래를 준비하고 있다""며 ""그 시작으로 홍명보 감독과 연장 계약에 합의한 것""이라고 이번 계약의 의미를 설명했다.     울산 구단은 ""홍 감독이 그동안 쌓아온 지도자로서 능력과 안목, 축구인으로서 노하우를 통해 울산의 발전에 큰 힘을 보탤 것으로 기대한다""며 ""구단 역사상 첫 리그 2연패를 목표로 하는 상황에서 홍명보 감독의 연장 계약은 후반기 새로운 동기부여가 될 것""이라고 밝혔다.     울산은 2023시즌에도 K리그1에서 18승 2무 4패, 승점 56을 기록해 2위 포항 스틸러스를 승점 12 차이로 멀찌감치 따돌리며 2연패 가능성을 키우고 있다.     emailid@yna.co.kr 기사제공 연합뉴스 김동찬",11
"與 ""아파트 철근누락, 진상규명TF 발족…필요시 국정조사 검토""(종합)",20230802,정치,"""文정부 주택 건설사업 정책 심각한 결함 추정…감사원 감사 이뤄질 것""""필요하면 지난 정부 국토부는 물론 靑 정책 결정자도 조사 이뤄져야""    무량판 공법 부실시공 관련 기자간담회에서 발언하는 윤재옥 원내대표  국민의힘 윤재옥 원내대표가 2일 오전 서울 여의도 국회에서 열린 무량판 공법 부실시공 관련 기자간담회에서 발언하고 있다. 2023.8.2 toadboy@yna.co.kr 차지연  국민의힘은 2일 한국토지주택공사(LH) 발주 아파트의 철근 누락 부실시공 사태에 대해 당 차원의 태스크포스(TF)를 발족해 진상규명에 나서겠다고 밝혔다.     우선 TF를 통해 시급한 진상규명 작업에 착수하되, 필요하다면 국정조사도 추진하기로 했다.    윤재옥 원내대표는 이날 국회에서 '무량판 공법 부실시공' 관련 긴급 기자간담회를 열고 ""우리 당은 정부의 감사, 수사와 별도로 진상규명 TF를 발족시켜 아파트 부실시공 사태의 전모를 낱낱이 파헤치겠다""고 말했다.     또 ""부실 공사 방지를 위한 건설산업기본법 개정안 등 관련 법안에 대한 입법적 조치를 신속히 완료하는 데도 최선을 다하겠다""고 덧붙였다.     TF 위원장은 국회 국토교통위원회 국민의힘 간사인 김정재 의원이 맡는다. TF는 오는 4일부터 정부 보고를 받은 뒤 진상규명 활동에 나선다.    윤 원내대표는 ""국정조사도 필요하다면 추진을 검토하겠다""고 밝혔다.    국민의힘은 전날 강민국 수석대변인 명의의 논평에서 ""차제에 국정조사를 통해 자신들의 이익을 위해 국민 안전을 담보로 삼은 행태에 대해 반드시 밝혀낼 것""이라고 했는데, 윤 원내대표는 이에 대해 ""국정조사를 포함한 모든 수단을 동원해야 하겠다는 의지의 표명""이라고 설명했다.    윤 원내대표는 이어 ""국정조사라는 것이 시간이 오래 걸린다. 더불어민주당과 합의도 해야 한다""며 ""그런 현실적인 것을 생각할 때 시간을 더 이상 지체할 수 없을 정도로 이 사안에 심각한 국민적 우려가 있다""고 말했다.    그러면서 ""일단 사실관계를 정확히 규명하고 정부와 함께 국민들이 걱정하는 부분을 해소할 방법을 빨리 찾아야겠다는 생각에 TF를 가동하기로 했다""고 말했다.    국정조사 추진을 배제하는 것은 아니지만, 여야 합의 등에 시간이 걸릴 수 있어 우선 진상규명 작업부터 진행하겠다는 취지다.    윤 원내대표는 ""사실 민생 관련 문제이기 때문에 여야가 합의되면 국정조사를 하는 게 바람직하다""며 ""국정조사는 상황에 따라 아예 진상규명 차원을 넘어 정책적 대안이 필요하면 (추진 여부를) 판단하겠다""고 강조했다.    무량판 공법 부실시공 관련 기자간담회 참석하는 윤재옥 원내대표  국민의힘 윤재옥 원내대표가 2일 오전 서울 여의도 국회에서 열린 무량판 공법 부실시공 관련 기자간담회에 참석하고 있다. 2023.8.2 toadboy@yna.co.kr윤 원내대표는 아울러 ""LH 전·현직 직원들의 땅 투기가 일어난 지 얼마 되지 않아 아파트 철근 누락 사태까지 터진 걸 보면, 문재인 정부의 주택 건설 사업 관리 정책에 심각한 결함이 있었음을 추정하지 않을 수 없다""고 지적했다.    그러면서 ""필요하다면 지난 정부의 국토교통부는 물론이고 대통령실의 정책 결정자에 대해서도 조사가 이뤄져야 한다""고 주장했다.    그는 특히 ""정부에서 전수조사를 하고 있고 감사원 감사도 이뤄질 것으로 예상된다""고 밝혔다.     윤 원내대표는 지난 정부 정책결정자에 대한 조사가 어느 선까지 이뤄질 것으로 예상하는지에 대한 질문에 ""어느 선까지 정해놓지는 않고 있다""며 ""감사 과정에서 (이전 정부) 정책 결정자들의 책임의 인과관계가 입증되면 그 인과관계 범위 안에서 조사가 이뤄져야 한다""고 답했다.    한편, 민주당이 요구하는 서울-양평 고속도로 관련 국정조사에 대해서 윤 원내대표는 ""지금 불법이 하나도 밝혀진 게 없다. 정치적 주장만 난무해서 공사가 제대로 진행되는 데 오히려 시간이 지연되고 논란만 자꾸 더할 뿐""이라며 반대 입장을 재확인했다.",0
"관악구, 저소득 어르신에 보청기 구입비 선착순 지원",20230802,사회,"관악구청 전경[관악구 제공. 재판매 및 DB 금지]      서울 관악구(구청장 박준희)는 저소득 어르신 27명을 선착순으로 모집해 보청기 구입비를 지원한다고 2일 밝혔다.    구는 지난달 '관악구 어르신 보청기 구입비 지원 조례'를 제정해 난청이 있지만 청각장애 기준에 해당하지 않아 정부 지원을 받지 못하는 저소득층 어르신을 위한 보청기 구입 지원 기반을 마련했다.     지원 금액은 보청기와 초기 적합 비용을 포함해 최대 111만 원으로, 대상자가 업체에서 보청기를 맞추면 구가 해당 업체로 구입 비용을 직접 지급한다.    지원 대상은 관악구에 1년 이상 거주한 65세 이상 중 기초생활 수급자, 차상위계층(중위소득 50% 이하)에 해당하는 자로, 청각장애인으로 등록돼 지원받았거나 최근 5년 이내에 다른 복지사업 등에서 지원받은 사람은 제외된다.    보건소 담당자와 유선으로 자격 여부를 상담한 뒤 관내 이비인후과 의원을 안내받아 전문의 진단서와 보청기 처방전, 주민등록초본, 수급자 증명서 등 관련 서류를 구비해 관악구보건소 지역보건과로 방문 신청하면 된다.    구는 서류심사 후 대상자를 선정해 보청기 구입과 지원 내용에 대해 안내할 예정이다. 자세한 사항은 보건소 지역보건과(☎879-7064, 7181)로 문의하면 된다.",0
"""주차 걱정 없이 편하게 이용하세요"" 횡성공항 무료 주차장 확충",20230802,사회,"19억원 투입한 주차공원 준공식…93면의 주차장·휴식 공간 조성  강원 횡성군이 횡성 공항 이용객과 주민 편의를 위해 무료 주차장과 휴식 공간을 확충했다.    횡성공항 먹거리단지 주차공원 준공식 2일 강원 횡성군 횡성읍 곡교리 횡성 공항 먹거리단지에서 열린 주차공원 준공식에 김명기 군수와 김영숙 군의장을 비롯한 군의원, 한국공항공사 관계자 등이 참석해 테이프 커팅식을 하고 있다. 2023.8.2 [횡성군 제공.재판매 및 DB 금지] jlee@yna.co.kr    군은 2일 오전 횡성읍 곡교리 횡성공항 먹거리단지 주차공원 준공식을 했다.    준공식에는 김명기 군수와 김영숙 군의장을 비롯한 군의원, 한국공항공사 관계자, 주민 등 100여명이 참석했다.    2021년 강원도 지역 균형발전 시범사업의 하나로 추진한 주차공원 사업을 통해 6천525㎡의 공간에 93면의 주차장과 휴식 공간을 조성했다.    총사업비 19억원을 투입했다.    제주노선의 수요가 늘면서 주차 공간 부족에 따른 공항 이용객의 불편이 그동안 컸다.    또 공항 주변 먹거리단지 내에서는 장기 주차 문제로 이용객과 주민 간의 마찰이 빚어지는 등 주차장 확충이 시급한 상황이었다.    군은 이번 사업으로 공항 주변 주차난이 어느 정도 해소될 것으로 보고 있다.    여기에 더해 보다 원활한 운영을 하고자 사업지를 더 확보해 주차장을 추가 조성하는 방안도 검토할 계획이다.    횡성공항 먹거리단지 주차공원 준공식 2일 강원 횡성군 횡성읍 곡교리 횡성 공항 먹거리단지에서 열린 주차공원 준공식에 김명기 군수와 김영숙 군의장을 비롯한 군의원, 한국공항공사 관계자 등이 참석해 기념사진을 촬영하고 있다. 2023.8.2 [횡성군 제공.재판매 및 DB 금지] jlee@yna.co.kr    김명기 군수는 ""횡성 공항을 더 많이 찾아와 관계 인구가 늘어 지역경제 활성화는 물론 국내외 노선 증편 검토에도 큰 도움이 될 것으로 기대한다""고 말했다.",1
