제목,날짜,분류,본문,반응수
Yonhap News Summary,20230802,세계,"Yonhap News Summary   The following is the second summary of major stories moved by Yonhap News Agency on Wednesday.-----------------S. Korean aquatic athletes set sights on Asian Games medals after strong showing at worlds   SEOUL -- After noteworthy performances at the recent world swimming championships, leading South Korean aquatic athletes said Wednesday they will try to build on that momentum to grab medals at the upcoming Asian Games.   At a joint press conference in Seoul, artistic swimmers Lee Ri-young and Hur Yoon-seo said they believe they're capable of reaching the podium in Hangzhou, China, this fall.-----------------Electricity demand forecast to peak next week over heat wave   SEOUL -- South Korea's electricity demand this summer is forecast to peak next week, the industry ministry said Wednesday, adding that the government will closely monitor the supply situation over the stoppage of a power plant and an approaching typhoon.   The country's maximum electricity demand is estimated to rise to 92.5 to 97.8 gigawatts (GW) around Aug. 10, the most this summer, according to the Ministry of Trade, Industry and Energy.-----------------Trudeau thanks S. Korean firefighting team for wildfire operations    SEOUL -- Canadian Prime Minister Justin Trudeau has expressed his gratitude to a South Korean emergency firefighting team dispatched a month ago to assist the North American nation in dealing with raging wildfires.   The Korea Disaster Relief Team, comprised of 152 workers, including firefighters, emergency workers and medical personnel, was sent to Lebel-sur-----------------Germany to simplify procedures for exports of defense goods to S. Korea: DAPA   SEOUL -- Germany plans to simplify its procedures for exports of defense products to South Korea starting next month, Seoul's arms procurement agency said Wednesday.    From Sept. 1, Germany will no longer require its companies supplying non-sensitive defense and dual-use goods to South Korea to receive approval from its federal export control office, according to the Defense Acquisition Program Administration (DAPA).-----------------High jumper Woo Sang-hyeok confident he can win 1st world title   INCHEON -- Confident in his preparation and his ability to come through under pressure, South Korean high jumper Woo Sang-hyeok said Wednesday he will bring home the gold medal from the world championships this month.   Woo held an open training session at Munhak Stadium in Incheon, west of Seoul, on Wednesday, two days before he's scheduled to depart for Europe and prepare for the World Athletics Championships in Budapest.-----------------LH to set up 'anti-cartel' headquarters in overhaul after poor parking lot construction   SEOUL -- The state-run Korea Land & Housing Corp. (LH) said Wednesday it will establish an ""anti-cartel"" headquarters under its wing to root out malpractices at construction sites in an overhaul of the shoddy work on underground parking lots at apartment complexes built under contracts with the housing developer.   The pledge came amid the intense government-led scrutiny over revelations that the LH has overlooked the insufficient use of metal bars in building underground parking lots at a number of apartment complexes across the country.-----------------Thorough probe needed into suspicions of deliberate delay of THAAD normalization: presidential office   SEOUL -- A thorough investigation is necessary if there are suspicions that the previous Moon Jae-in administration deliberately dragged its feet in normalizing the U.S. THAAD missile defense system in South Korea, a senior presidential official said Wednesday.   Allegations have arisen that the Moon administration deliberately delayed the publishing of an environmental assessment report of the Terminal High Altitude Area Defense (THAAD) battery base, which was installed in Seongju, 214 kilometers southeast of Seoul, in 2017. -----------------S. Koreans in Niger advised to leave amid military coup   SEOUL, Aug. 2 (Yonhap) -- South Korea on Wednesday issued a travel advisory for its nationals in Niger to leave the West African nation over security concerns following a recent military coup.    The foreign ministry said it has elevated the travel advisory for all regions in Niger to Level 3, which strongly advises South Koreans there to leave the country, effectively immediately.     -----------------(END)",0
"유럽증시, 미 신용등급 강등 여파 낙폭 확대…유로화는 강세",20230802,세계,"국제 신용평가사 피치의 미국 신용등급 강등 여파로 2일(현지시간) 유럽 주요국 증시가 동반 하락세로 출발해 낙폭을 확대하고 있다.    독일 프랑크푸르트 증권거래소[로이터 연합뉴스 자료사진. 재판매 및 DB금지]    독일 프랑크푸르트 증시의 DAX 지수는 이날 전 거래일 종가 대비 1.1% 하락 출발해 오전 10시 20분 현재 1.64% 내린 15.983,25까지 낙폭을 확대하면서 16,000선 아래로 떨어졌다.    영국 런던 증시의 FTSE 100 지수는 전거래일 종가 대비 1.82%, 프랑스 파리 증시의 CAC 40는 1.59% 각각 하락 중이다. 범유럽 지수인 유로 Stoxx 50은 1.64% 하락하고 있다.     외환시장에서 유로화는 장중 0.05% 오른 1.0987달러를 기록 중이다.     앞서 피치는 미국의 국가신용등급(IDRs·장기외화표시발행자등급)을 'AAA'에서 'AA+'로 하향했다.    3대 국제 신용평가사 가운데 한 곳이 미국의 국가신용등급을 강등한 것은 2011년 스탠더드앤드푸어스(S&P) 이후 12년 만이다. 피치는 강등 배경으로 ""향후 3년간 예상되는 미국의 재정 악화와 국가채무 부담 증가, 거버넌스 악화 등을 반영한다""고 밝혔다.",1
"한국산업기술시험원, 국내 기업 베트남 수출지원 앞장",20230802,사회,"한국산업기술시험원[한국산업기술시험원 제공. 재판매 및 DB 금지]  한국산업기술시험원(KTL)은 인증 정보 제공부터 획득까지 베트남 수출에 필요한 모든 수출 지원 서비스를 제공해 우리 기업 해외 판로 개척에 앞장선다고 2일 밝혔다.    KTL은 산업통상자원부 국가기술표준원과 함께 'FTA 무역기술장벽 종합지원사업'을 수행하며 주요 수출국의 기술규제·표준 분석, 신규 무역기술장벽 발굴 및 맞춤형 인증 상담 제공 등을 하고 있다.     아울러 베트남 시험인증기관과 긴밀한 협업 관계를 바탕으로 전기안전, 전자파 시험성적서 상호 인정에 이어 올 3월 공장심사 권한까지 인정받았다.    이를 통해 전기전자제품의 전기안전, 전자파 시험, 공장심사가 KTL 한 곳에서 가능해져 우리 기업은 베트남 인증 획득이 한결 수월해졌다.    KTL 관계자는 ""57년간의 축적된 시험인증 노하우와 기술력을 바탕으로 우리 기업의 수출 걸림돌인 무역기술장벽 극복에 이바지하는 등 '대한민국 수출 플러스 전환'을 위해 최선의 노력을 다하겠다""고 말했다.",0
Korean Air Q2 net falls 18 pct on operating costs,20230802,세계,"Korean Air-Q2 earningsKorean Air Q2 net falls 18 pct on operating costs   SEOUL, Aug. 2 (Yonhap) -- Korean Air Co., South Korea's leading carrier, said Wednesday its second-quarter net profit fell 18 percent from a year earlier due to increased operating costs.    Net profit for the three months ended in June fell to 371.5 billion won (US$286 million) from 450.4 billion won during the same period of last year, the company said in a statement.    Airport usage fees and aircraft operating costs jumped in line with an increased number of flights, weighing on the quarterly results, the statement said.   Operating profit plunged 36 percent to 468 billion won in the June quarter from 735.9 billion won a year ago. Sales rose 6 percent to 3.535 trillion won from 3.332 trillion won during the same period.    Sales in the passenger business division more than doubled to 2.221 trillion won in the second quarter from 874.2 billion won a year earlier as the company preemptively increased the number of flights, the statement said.    But sales in the cargo business division plunged 56 percent to 963.8 billion won from 2.171 trillion won during the cited period as air freight rates declined due to lower cargo transport demands, it said.    In the third quarter, the Korean national flag carrier expected higher passenger travel demands will give a boost to the bottom line but cargo delivery demands will remain low due to an economic slowdown.    From January to June, net income declined 27 percent to 726.89 billion won from 994.27 billion won a year earlier.   Operating profit plummeted 42 percent to 882.98 billion won in the first half from 1.524 trillion won during the same period. Sales were up 9.7 percent to 6.731 trillion won from 6.138 trillion won.    The carrier's second-quarter results are parent-based tentative figures, not consolidated ones. Final and consolidated results are set to be released later this month.     This undated file photo offered by Korean Air shows a B787-9 passenger jet. (PHOTO NOT FOR SALE) (Yonhap)   kyongae",0
독대 마치고 다시 회의 장소로,20230802,경제,원희룡 국토교통부 장관(오른쪽)과 이한준 한국토지주택공사(LH) 사장이 2일 오후 서울 종로구 총리 공관에서 열린 고위 당정협의회 시작에 앞서 논의를 마친 뒤 회의 장소로 돌아오고 있다.     이날 고위 당정에서는 '철근 빠진 아파트 부실 시공' 사태와 관련해 논의한다. 2023.8.2,1
독대 마치고 당정 참석,20230802,경제,원희룡 국토교통부 장관(오른쪽)과 이한준 한국토지주택공사(LH) 사장이 2일 오후 서울 종로구 총리 공관에서 열린 고위 당정협의회 시작에 앞서 논의를 마친 뒤 회의 장소로 돌아오고 있다.     이날 고위 당정에서는 '철근 빠진 아파트 부실 시공' 사태와 관련해 논의한다. 2023.8.2,0
"[영상] ""당장 꺼져라""…조지아 입항했다 달걀맞고 쫓겨난 러 유람선, 왜",20230802,세계,"러시아 유람선이 조지아에 입항했다가 시위대의 항의를 받고 쫓겨나는 일이 벌어졌습니다.     1일(현지시간) 영국 BBC방송 등에 따르면 승객 800여명을 태운 러시아 유람선 '아스토리아 그란데'는 지난달 31일 흑해 항구도시 바투미에 정박했습니다.     하지만 승객들이 하선하자 기다리던 시위대가 조지아와 우크라이나 국가, 유럽연합(EU) 깃발을 흔들며 항의 구호를 외치기 시작했습니다.     그중에는 유람선을 향해 달걀을 던지거나 승객들에게 당장 떠나라고 요구하는 사람들도 있었습니다.     바투미 시위가 확산하기 시작한 건 해당 유람선에 승선한 러시아 관광객 일부가 2008년 러시아의 조지아 침공을 지지한다고 밝힌 사실이 전해지면서부터입니다.     아스토리아 그란데는 결국 다음 날인 1일 기존 계획을 앞당겨 바투미 항구를 떠났고, 바투미를 거치는 일정을 없애기로 한 것으로 알려졌습니다.     친유럽 성향의 살로메 주라비슈빌리 조지아 대통령은 러시아 유람선의 입항을 '러시아의 도발'로 규정하며 시위에 대해 지지의 뜻을 밝혔습니다. 제작: 진혜숙 이금주    영상: 로이터·Astoria Grande 유튜브·트위터 @intermarium24·@Gerashchenko_en·@FormulaGe·@jirik957",5
독대 마치고 다시 회의 장소로,20230802,경제,원희룡 국토교통부 장관(오른쪽)과 이한준 한국토지주택공사(LH) 사장이 2일 오후 서울 종로구 총리 공관에서 열린 고위 당정협의회 시작에 앞서 논의를 마친 뒤 회의 장소로 돌아오고 있다.     이날 고위 당정에서는 '철근 빠진 아파트 부실 시공' 사태와 관련해 논의한다. 2023.8.2,0
독대 마치고 다시 회의 장소로,20230802,경제,원희룡 국토교통부 장관(오른쪽)과 이한준 한국토지주택공사(LH) 사장이 2일 오후 서울 종로구 총리 공관에서 열린 고위 당정협의회 시작에 앞서 논의를 마친 뒤 회의 장소로 돌아오고 있다.     이날 고위 당정에서는 '철근 빠진 아파트 부실 시공' 사태와 관련해 논의한다. 2023.8.2,0
독대 마치고 다시 회의 장소로,20230802,경제,원희룡 국토교통부 장관(오른쪽)과 이한준 한국토지주택공사(LH) 사장이 2일 오후 서울 종로구 총리 공관에서 열린 고위 당정협의회 시작에 앞서 논의를 마친 뒤 회의 장소로 돌아오고 있다.     이날 고위 당정에서는 '철근 빠진 아파트 부실 시공' 사태와 관련해 논의한다. 2023.8.2,1
"경기 여주 39도 육박…전국 휘감은 폭염, 한라산 한 곳만 남았다",20230802,사회,"제주산지 제외 전국 폭염특보…내일도 폭염 계속제주해안·남해안·전라서해안 태풍 탓 높은 물결 주의    타는 듯한 무더위  2023 새만금 세계스카우트잼버리 개영일인 2일 전북 부안군 하서면 야영장 델타구역에서 대회 참가자들이 음료수와 아이스크림을 먹고 있다. 2023.8.2 jaya@yna.co.kr      전국을 휘감은 무더위는 3일에도 이어지겠다.     2일 오전 10시를 기해 서해5도에도 폭염주의보가 내려지면서 전국 180개 육상 기상특보 구역 중 제주산지 한 곳을 제외한 179곳에 폭염특보가 발효됐다.    남한에서 제일 높은 한라산 한 곳만 폭염에서 벗어난 셈이다.     특히 179곳의 93%인 167곳에 이틀 이상 일최고체감온도가 35도 이상일 것으로 예상될 때 발령되는 폭염경보가 내려진 상태다.    기상특보 발효 현황. [기상청 제공. 재판매 및 DB 금지]    이날 경기 여주시 금사면은 오후 2시 8분 기온이 38.8도까지 치솟은 것으로 기록됐다. 경기 양평군 옥천면과 강원 강릉시는 각각 오후 2시 39분과 31분에 기온이 37.8도까지 올랐다.    밤에는 도심지와 해안을 중심으로 열대야가 나타나겠다.     열대야는 오후 6시 1분부터 이튿날 오전 9시까지 밤에 기온이 잠을 이루기 어려운 수준인 25도 이상을 유지하는 현상을 말한다.     3일 아침 최저기온은 23~28도이고 낮 최고기온은 33~38도일 것으로 예상된다.    낮 기온이 38도까지 오를 것으로 예상되는 곳은 강릉시다.     주요 도시 예상 최저기온과 최고기온은 서울 26도와 35도, 인천 26도와 33도, 대전·울산 25도와 35도, 광주·대구 26도와 36도, 부산 27도와 34도다.    3일 자외선이 강하게 내리쬐고 오존은 짙겠다.     한낮 자외선지수는 대부분 지역에서 '매우 높음' 수준이겠다.     햇볕을 수십 분만 맞아도 피부에 화상을 입을 수 있을 정도로 실내나 그늘에 머무는 것이 권고된다.     오존 농도는 수도권과 강원영서, 충북, 충남, 전북, 전남, 영남에서 '나쁨' 수준일 것으로 국립환경과학원은 예상했다.    낮 기온 상승에 따른 대기 불안정 때문에 3일 아침부터 밤까지 제주, 오후와 저녁 사이 경기내륙·강원남부내륙·강원남부산지·충청·전북·전남북부·경북내륙·경북남부동해안·울산·경남내륙에 소나기가 예상된다.     소나기 시간당 강수량이 30㎜ 내외에 달할 수 있어 대비가 필요하다.     특히 전북북동내륙과 경북서부내륙에는 소나기가 시간당 30~60㎜씩 거세게 쏟아질 수 있겠다.    제6호 태풍 카눈은 이날 오후 3시 일본 오키나와 서남서쪽 190㎞ 해상을 지났으며 조금 더 서쪽으로 이동했다가 방향을 틀어 일본 남쪽으로 가리라 전망된다.     기상청이 2일 오후 4시 발표한 제6호 태풍 카눈 예상 경로. [기상청 제공. 재판매 및 DB 금지]    다른 나라 기상당국 전망도 이와 비슷하다.     앞서 카눈이 전향 후 제주를 향해 나아간다는 예상을 제시했던 홍콩 기상당국(천문대)도 최신 예보에서는 일본 남쪽을 향해 가는 것으로 예상경로를 조정했다.    카눈이 예상대로 움직이면 북태평양고기압과 함께 국내로 고온다습한 공기를 주입하며 무더위를 부추길 것으로 보인다.     카눈 영향으로 제주해안과 남해안, 전라서해안에 당분간 너울이 유입되면서 갯바위나 방파제를 넘을 정도로 높은 물결이 밀려오겠다.     특히 5일 오전까지 제주앞바다에 매우 높은 물결, 서해남부앞바다와 남해앞바다에서 높은 물결이 해안으로 거세게 밀려오겠으니 해안에는 되도록 가지 않는 것이 좋겠다. 폭풍해일경보 발령 가능성도 있다.     6일까지 달의 인력이 강해 해수면 높이가 높은 기간이기도 한 만큼 해안가 저지대에서는 밀물 때 침수되지 않도록 대비해야 한다.",13
"서산시, 폭염 대응 특별팀 운영…살수차도 가동",20230802,사회,"긴급 폭염 대책 점검 회의[서산시 제공. 재판매 및 DB 금지]  충남 서산시는 폭염이 앞으로도 지속할 것으로 예상됨에 따라 다음 달 30일까지를 폭염 대책 기간으로 정하고 대응 종합 대책을 추진한다고 2일 밝혔다.    시는 폭염 대응 특별팀을 운영하고, 폭염 특보 발효 시 비상근무 등을 통해 신속 대응할 예정이다.    경로당 413곳을 무더위 쉼터로 운영하고, 취약계층 등 폭염 피해 사각지대 발굴과 전화·방문 모니터링도 강화한다.    도심 온도를 낮추기 위해 도로 살수차도 운영한다.    횡단보도 및 교차로에 그늘막 7개를 추가 설치하고, 얼음물 나누기 캠페인, 양산 대여소 등도 운영한다.",0
"한국·인도·일본 청소년 200명, 부산서 5∼6일 예술축제",20230802,사회,"K-ART국제교류협회 주최…문화예술 체험 교류 기회 제공     미술실기대회[케이아트국제교류협회 제공]      케이아트(K-ART)국제교류협회는 오는 5일부터 이틀간 부산 해운대구 아르피나에서 '2023 국제 청소년 예술축제'를 한다고 2일 밝혔다.    케이아트국제교류협회가 주최하는 국제 청소년 예술축제는 '2023 국제청소년 미술공모전'에서 수상한 한국, 인도, 일본 등 세계 각국 200여 명의 청소년에게 문화예술을 공유하는 기회를 제공하는 행사다.    참가 학생들은 1박 2일 일정으로 미술 실기대회, 한복·다도 체험, 케이팝(K-POP) 밴드 초청 무대, 예술교류 등을 하면서 다양한 문화와 예술을 공유한다.    한국 차문화 체험[케이아트국제교류협회 제공]    행사에 참석하는 인도, 일본 등 해외 학생 60여 명은 일주일간 국내에 머물면서 예술축제를 비롯해 부산·울산·경남 지역 주요 유적지 등을 둘러보며 한국 전통문화도 배운다.     청소년예술축제 미술 실기대회에서 우수한 성적을 거둔 청소년에게는 부산대, 동아대, 제주대 등 지역 대학교 총장상을 수여한다    K-ART국제교류협회가 세계 각국의 미술학도들을 위해 행사 비용 전액을 지원한다.    K-ART국제교류협회 허숙 이사장은 ""청소년 예술축제는 미술 전공할 학생에게 폭넓은 교류의 경험을 통해 각국의 다양한 문화와 의식을 공유하는 기회를 공유하는 행사로 39년째 이어지고 있다""고 말했다.",0
"우상혁의 연이은 금빛 도전…""세계선수권·DL 파이널·AG 우승""",20230802,스포츠,"""이렇게 열심히 했는데 금메달 못 따면 억울할 것…자신 있다""8월 세계선수권, 9월 다이아몬드리그 파이널, 10월 AG 우승 도전'스마일 점퍼' 우상혁 파이팅  우상혁이 2일 오후 인천 문학경기장에서 세계육상선수권대회 출전을 앞두고 취재진과 인터뷰하고 있다. 우상혁은 19일 개막하는 2023 부다페스트 세계육상선수권대회에 참가하기 위해 4일 유럽으로 떠나 '현지 적응 훈련'에 나선다. 2023.8.2 soonseok02@yna.co.kr  우상혁(27·용인시청)은 8월부터 10월 초까지 유럽, 미국, 중국을 오가는 강행군을 한다.     하지만, 그는 '스마일 점퍼'라는 별명처럼 웃으며 일정표를 점검한다.    우상혁의 바람이 이뤄지면, 2023년 8∼10월은 한국 육상의 가장 빛나는 시절로 기록될 수 있다.     우상혁은 2일 인천 문학경기장에서 공개 훈련을 한 뒤 ""빨리 실전을 치르고 싶어서, 몸이 근질근질하다""며 ""후회 없이 준비했고, 좋은 선수들과 즐겁게 할 준비를 마쳤다""고 말했다.     4일 독일로 출국하는 우상혁의 '예상 귀국일'은 9월 20일이다.     우상혁은 한국시간으로 20일 오후 5시 35분 2023 부다페스트 세계육상선수권대회 남자 높이뛰기 예선을 치른다. 대회 결승은 23일 오전 2시 55분에 열린다.     지난해 유진 세계선수권에서 우상혁은 2ｍ35를 넘어, 2ｍ37의 무타즈 에사 바르심(32·카타르)에 이어 2위에 올랐다.     한국 육상이 세계선수권에서 얻은 '첫 은메달'이었다.     우상혁은 ""지난해에 못 딴, '맡겨놓은 금메달'을 찾아와야 한다""고 한국 육상 사상 첫 세계선수권 우승을 정조준했다.'스마일 점퍼' 우상혁  우상혁이 2일 오후 인천 문학경기장에서 세계육상선수권대회 출전을 앞두고 취재진과 인터뷰하고 있다. 우상혁은 19일 개막하는 2023 부다페스트 세계육상선수권대회에 참가하기 위해 4일 유럽으로 떠나 '현지 적응 훈련'에 나선다. 2023.8.2 soonseok02@yna.co.kr세계선수권이 끝난 뒤 우상혁은 스위스 취리히로 건너가 현지시간 8월 31일 스위스 취리히에서 열리는 다이아몬드리그에 출전한다.     한국 육상 사상 첫 다이아몬드리그 파이널 진출 여부가 걸린 경기다.     다이아몬드리그 개별 대회에서 얻은 포인트를 종합해 파이널 진출자를 결정한다. 남자 높이뛰기 파이널에 진출하는 선수는 6명이다.     우상혁은 지난해 다이아몬드리그 랭킹 포인트 총 16점으로 7위를 해, 17점으로 6위에 오른 안드리 프로첸코(35·우크라이나)에 1점 차로 밀려 파이널 진출권을 놓쳤다.     2022 도하 대회 우승(8점), 모나코 대회 2위(7점)로 선전하고도 8월 22일 로잔 대회에서 컨디션 난조로 8위에 그친 탓이었다.     우상혁은 ""올해에는 방심하지 않고, 파이널에 진출해 무거운 것(다이아몬드 파이널 우승 트로피)을 들고 오겠다""고 약속했다. 현재 우상혁의 2023 다이아몬드리그 랭킹 포인트 순위는 5위(14점)다. 취리히 대회에서 상위권에 오르면 파이널 진출을 확정할 수 있다.     올해 다이아몬드리그 파이널은 9월 17일과 18일 미국 오리건주 유진에서 열린다. 우승자는 다이아몬드리그 트로피를 받는다.     우상혁은 취리히 다이아몬드리그가 끝나면 유럽에서 바로 미국으로 건너가 파이널을 치르고, 귀국할 예정이다.    이후 다시 짐을 싸 중국 항저우로 떠난다.     항저우 아시안게임 남자 높이뛰기 결선은 10월 4일에 열린다.     우상혁이 아시안게임에서 우승하면 한국 육상은 이진택(1998년 방콕·2002년 부산 대회 우승) 이후 21년 만에 아시안게임 남자 높이뛰기 금메달 손에 넣는다.     우상혁은 ""세계선수권이 끝나도, 다이아몬드리그 파이널, 아시안게임이 이어진다. 그때까지 체중을 잘 유지하고, 잘 준비하겠다""며 ""일단 세계선수권, 다이아몬드리그를 잘 치르고서 다시 아시안게임 금메달을 향해 뛰겠다""고 약속했다      다음은 우상혁과의 일문일답이다. '스마일 점퍼' 우상혁  우상혁이 2일 오후 인천 문학경기장에서 세계육상선수권대회 출전을 앞두고 취재진과 인터뷰하고 있다. 우상혁은 19일 개막하는 2023 부다페스트 세계육상선수권대회에 참가하기 위해 4일 유럽으로 떠나 '현지 적응 훈련'에 나선다. 2023.8.2 soonseok02@yna.co.kr-- 세계선수권 개막이 다가온다. 이번 세계선수권은 어떤 의미인가.     ▲ 세계선수권에 세 번째(2017년 런던 2ｍ22·예선 탈락, 2022년 유진 2ｍ35·2위)로 출전한다. 지난해에 못 딴, '맡겨놓은 금메달'을 찾아와야 한다. 정말 준비를 잘했다. 진천선수촌에서 열흘 넘게 훈련하면서 오전, 오후에 쉬지 않고 훈련했다. 훈련 결과도 좋았다. 좋은 기분으로 세계선수권을 치를 수 있다.  -- 세계선수권 우승을 자신하는 이유는.    ▲ 누구보다 준비를 잘했다고 자부한다. '이만큼 열심히 준비하고, 식욕도 이렇게 눌렀는데 내게 금메달을 줘야 하지 않나'라고 생각한다. 정말 엄청나게 참으며 훈련하고, 식단 조절도 잘했다. 그만큼 훈련 성과가 좋다. 진천선수촌에서 훈련하며 2ｍ30 이상을 여러 번 넘었다. 예전보다 좋은 페이스다. 열심히 준비하면 보상을 받더라. 이번 세계선수권에서 보상받고 싶다.  -- 지난해 개인 첫 세계선수권 메달을 획득했다. 이번 대회에 더 부담을 느끼지 않는가.     ▲ 경험도 기량을 구성하는 중요한 요소다. (2021년에 열린 도쿄 올림픽 이후) 국제대회를 자주 치르면서 경험을 쌓았고, 그 경험을 토대로 경기 운영 능력도 키웠다. 지난해 유진 세계선수권은 그해 '세계실내선수권 챔피언', '세계 랭킹 1위' 등의 타이틀을 안고 뛰어서 더 부담스러웠다. 경험이 없으니 더 당황하기도 했다. 올 시즌은 나를 포함한 여러 선수가 세계 랭킹 1위에 번갈아 가며 오른다. 이런 상황이 부담을 더 줄인다. 부다페스트에서는 부담 없이 점프할 수 있다.  -- 세계선수권 개막이 다가오면서 경쟁자들의 기록도 올라오고 있다.     ▲ 바르심, 해리슨이 좋은 기록을 세운 대회에 내가 뛰었으면 결과가 달라졌을 것이다. 나는 실레지아, 런던 다이아몬드리그가 열리는 기간에 아시아선수권에 출전하고, 개인 훈련을 했다. 빨리 실전을 치르고 싶어서, 몸이 근질근질하다. 이전 기록은 중요하지 않다. 가장 중요한 건, 세계선수권 결과다. 나는 후회 없이 준비했고, 좋은 선수들과 즐겁게 할 준비를 마쳤다. 세계선수권 2회 연속 메달 도전 '스마일 점퍼' 우상혁  우상혁이 2일 오후 인천 문학경기장에서 세계육상선수권대회 출전을 앞두고 취재진과 인터뷰하고 있다. 우상혁은 19일 개막하는 2023 부다페스트 세계육상선수권대회에 참가하기 위해 4일 유럽으로 떠나 '현지 적응 훈련'에 나선다. 2023.8.2 soonseok02@yna.co.kr-- 스톡홀름 다이아몬드리그에서 부진했는데.    ▲ 스톡홀름 대회 직전에 정선 육상선수권에서 2ｍ33을 넘었다. '이 정도까지 올라왔으니 조금 느슨해져도 되지 않을까'라는 자만에 음식을 좀 먹었다. (웃음) 체중 관리에 소홀했는데 마침 면역력도 떨어져서 대상포진을 앓았다. 다시 한번 교훈을 얻었고, 집중할 계기가 됐다. 세계선수권을 치르기 전에 이런 경험을 해서 오히려 다행이다.  -- 지난해 유진 세계선수권에서 2위를 하고도, '최상의 몸 상태가 아니었다'고 아쉬워했는데.    ▲ 유진 대회에서는 대회 직전에 컨디션이 떨어졌다. 그때 함께 경기한 선수들은 운이 좋았다. (웃음) 지난해 그런 경험을 하고, 올해는 스톡홀름에서 비슷한 경험을 했으니 부다페스트 세계선수권은 더 잘 준비할 수 있다. 지금까지는 매우 좋다.  -- 현재 체중은 얼마인가.     ▲ (7월 15일) 방콕 아시아선수권을 치를 때 체중을 64㎏으로 줄였다. 근력 운동을 위해 지금은 67㎏으로 조금 불렸는데, 세계선수권 대회가 열릴 때는 65㎏ 정도로 다시 체중을 줄일 생각이다. 예전에는 다이어트가 정말 힘들었는데 이번에는 한결 수월했다. 주위에서는 '너무 힘들어 보인다. 어떻게 그렇게 체중 조절을 하면서 그 정도 훈련량을 소화하는가'라고 불쌍하게 여기시지만, 나는 괜찮다. 세계선수권이 끝나도, 다이아몬드리그 파이널, 아시안게임이 이어진다. 그때까지 체중을 잘 유지하겠다. 세계선수권 2회 연속 메달 도전 '스마일 점퍼' 우상혁  우상혁이 2일 오후 인천 문학경기장에서 세계육상선수권대회 출전을 앞두고 취재진과 인터뷰하고 있다. 우상혁은 19일 개막하는 2023 부다페스트 세계육상선수권대회에 참가하기 위해 4일 유럽으로 떠나 '현지 적응 훈련'에 나선다. 2023.8.2 soonseok02@yna.co.kr-- 다이아몬드리그 파이널 진출도 유력한 상황인데.    ▲ 지난해 당연히 다이아몬드리그 파이널에 진출한다고 생각했는데, 로잔 대회에서 부진해 출전권을 놓쳤다. 올해는 방심하지 않고, 다이아몬드리그 파이널뿐 아니라 항저우 아시안게임이 끝날 때까지 긴장의 끈을 놓치지 않겠다. 마침 다이아몬드리그 파이널이 지난해 세계선수권이 열린 유진 헤이워드 필드에서 열린다. 이번에는 무거운 걸(다이아몬드리그 우승 트로피) 들고 귀국하겠다.  -- 응원해주는 팬들께 한마디 하자면.     ▲ 세계선수권 예선부터 아주 재밌고, 신나게 뛰는 모습 보여드리겠다. 응원해주시면 맡겨 놓은 금메달을 꼭 찾아오겠다. 경기장에 가면 관중들이 '우', '우'를 외쳐주신다. 내 별명 '스마일 점퍼'답게, 밝고 경쾌한 모습으로 보답하겠다.    jiks79@yna.co.kr 기사제공 연합뉴스 하남직",2
일본 첫 국산 코로나19 백신 승인…다이이치산쿄 개발,20230802,세계,"초기 바이러스 대응 백신으로 출하는 안해 …올해 내 변이대응 백신 개발·공급    다이이치산쿄[다이이치산쿄 홈페이지 캡처, 재판매 및 DB 금지]      일본 제약회사 다이이치산쿄(第一三共)는 2일 자사의 코로나19 백신 '다이치로나'의 제조와 판매를 후생노동성이 승인했다고 밝혔다고 교도통신이 보도했다.    일본 제약사의 코로나19 백신으로는 처음으로 정식 승인됐다.    후생노동성 전문가부회는 앞서 지난달 31일 다이이치산쿄의 다이치로나에 대해 유효성을 확인할 수 있고 안전성에도 문제가 없어 사용할 수 있다고 평가했다.    일본 5대 제약업체에 속하는 다이이치산쿄가 개발한 제품은 화이자와 모더나 백신과 같은 '메신저 리보핵산'(mRNA) 방식 코로나19 백신이다.    교도는 ""18세 이상 추가 접종을 대상으로 한 일본 내 임상시험에서 화이자와 모더나 백신과 같은 정도의 유효성과 안정성이 확인됐다""고 전했다.    다이이치산쿄는 다만 이 백신이 코로나19 유행 초기 바이러스에 대응한 제품이라 출하는 하지 않는다    다이이치산쿄는 이번 개발 경험을 바탕으로 올해 내 오미크론 변이바이러스 XBB 대응 백신을 개발해 공급할 계획이다.",1
[그래픽] 온열질환자 발생 현황,20230802,사회,연일 숨쉬기조차 힘든 폭염에 온열질환자가 급증하고 사망자도 잇달아 발생하고 있다.    2일 질병관리청 온열질환 응급실 감시체계에 따르면 1일 89명의 온열질환자가 발생해 지난 5월20일 이후 올해 온열질환자가 누적 1천284명이 됐다. 사망자도 3명 늘어 올해 누적 16명으로 늘었다.,0
"원희룡 장관, 당정에 앞서 LH 사장 독대",20230802,경제,원희룡 국토교통부 장관(왼쪽)과 이한준 한국토지주택공사(LH) 사장이 2일 오후 서울 종로구 총리 공관에서 열린 고위 당정협의회 시작에 앞서 논의를 하고 있다.     이날 고위 당정에서는 '철근 빠진 아파트 부실 시공' 사태와 관련해 논의한다. 2023.8.2,0
